@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
235,2543,0,35128,20576,0.630619,1,0.067506,1,0.932494,0.126473,0.646746,1.546203,0
236,2543,0,35127,20577,0.630601,1,0.067507,1,0.932493,0.126477,0.646729,1.546244,0
237,2543,0,35126,20578,0.630583,1,0.067509,1,0.932491,0.12648,0.646711,1.546285,0
238,2543,0,35125,20579,0.630565,1,0.067511,1,0.932489,0.126483,0.646694,1.546326,0
239,2543,0,35124,20580,0.630547,1,0.067513,1,0.932487,0.126486,0.646677,1.546367,0
240,2543,0,35123,20581,0.630529,1,0.067514,1,0.932486,0.126489,0.64666,1.546408,0
241,2543,0,35122,20582,0.630511,1,0.067516,1,0.932484,0.126492,0.646643,1.546449,0
242,2543,0,35121,20583,0.630493,1,0.067518,1,0.932482,0.126495,0.646626,1.54649,0
243,2543,0,35120,20584,0.630475,1,0.06752,1,0.93248,0.126499,0.646608,1.546531,0
244,2543,0,35119,20585,0.630457,1,0.067522,1,0.932478,0.126502,0.646591,1.546572,0
245,2543,0,35118,20586,0.630439,1,0.067523,1,0.932477,0.126505,0.646574,1.546613,0
246,2543,0,35117,20587,0.630422,1,0.067525,1,0.932475,0.126508,0.646557,1.546654,0
247,2543,0,35116,20588,0.630404,1,0.067527,1,0.932473,0.126511,0.64654,1.546695,0
248,2543,0,35115,20589,0.630386,1,0.067529,1,0.932471,0.126514,0.646523,1.546736,0
249,2543,0,35114,20590,0.630368,1,0.067531,1,0.932469,0.126517,0.646505,1.546777,0
250,2543,0,35113,20591,0.63035,1,0.067532,1,0.932468,0.126521,0.646488,1.546819,0
251,2543,0,35112,20592,0.630332,1,0.067534,1,0.932466,0.126524,0.646471,1.54686,0
252,2543,0,35111,20593,0.630314,1,0.067536,1,0.932464,0.126527,0.646454,1.546901,0
253,2543,0,35110,20594,0.630296,1,0.067538,1,0.932462,0.12653,0.646437,1.546942,0
254,2543,0,35109,20595,0.630278,1,0.06754,1,0.93246,0.126533,0.64642,1.546983,0
255,2543,0,35108,20596,0.63026,1,0.067541,1,0.932459,0.126536,0.646402,1.547024,0
256,2543,0,35107,20597,0.630242,1,0.067543,1,0.932457,0.126539,0.646385,1.547065,0
257,2543,0,35106,20598,0.630224,1,0.067545,1,0.932455,0.126543,0.646368,1.547106,0
258,2543,0,35105,20599,0.630206,1,0.067547,1,0.932453,0.126546,0.646351,1.547147,0
259,2543,0,35104,20600,0.630188,1,0.067549,1,0.932451,0.126549,0.646334,1.547188,0
260,2543,0,35103,20601,0.63017,1,0.06755,1,0.93245,0.126552,0.646317,1.547229,0
261,2543,0,35102,20602,0.630152,1,0.067552,1,0.932448,0.126555,0.646299,1.547271,0
262,2543,0,35101,20603,0.630134,1,0.067554,1,0.932446,0.126558,0.646282,1.547312,0
263,2543,0,35100,20604,0.630116,1,0.067556,1,0.932444,0.126561,0.646265,1.547353,0
264,2543,0,35099,20605,0.630098,1,0.067558,1,0.932442,0.126565,0.646248,1.547394,0
265,2543,0,35098,20606,0.63008,1,0.067559,1,0.932441,0.126568,0.646231,1.547435,0
266,2543,0,35097,20607,0.630062,1,0.067561,1,0.932439,0.126571,0.646214,1.547476,0
267,2543,0,35096,20608,0.630045,1,0.067563,1,0.932437,0.126574,0.646196,1.547517,0
